frame,captured_ns,processed_ns,shift_x,shift_y,quality,command_x,command_y,dropped_frames
171,111344660282541,111344661055125,1.99395,-7.96756,12.5908,95.1074,4.59699,94
174,111344661030833,111344661605666,1.99395,-7.96756,12.5908,89.7525,-20,95
176,111344661531083,111344662150375,0.996679,-7.96754,12.5902,82.0759,15.5556,96
178,111344662029958,111344662701500,0.996679,-7.96754,12.5902,89.7525,-20,97
180,111344662530916,111344663240583,0.996679,-7.96754,12.5902,82.368,7.98603,98
182,111344663030000,111344663771875,0.996678,-8.96392,12.5916,90.0447,-20,99
184,111344663523375,111344664317916,-5.55124e-05,-8.96394,12.5916,82.368,15.5556,101
187,111344664274125,111344664863166,-5.55124e-05,-8.96394,12.5916,90.0447,-20,102
189,111344664772541,111344665411041,-5.55124e-05,-8.96394,12.5916,82.368,15.5556,103
191,111344665278916,111344665968250,-0.996094,-8.96394,12.5921,77.0132,-9.04138,104
193,111344665779791,111344666545416,-0.996094,-8.96394,12.5921,82.368,15.5556,106
196,111344666530250,111344667088083,-0.996094,-8.96394,12.5921,77.0132,-9.04138,107
198,111344667030458,111344667634458,-1.99147,-8.96396,12.5931,69.746,15.9059,108
200,111344667531208,111344668182875,-1.99147,-8.96396,12.5931,77.158,-12.7938,109
202,111344668034166,111344668724333,-1.99147,-8.96396,12.5931,70.3576,0.0599672,110
204,111344668534916,111344669260125,-1.99147,-8.96396,12.5931,77.4349,-19.9669,111
206,111344669031208,111344669802416,-2.98628,-8.96394,12.5945,70.8728,-13.2881,113
209,111344669780833,111344670340958,-2.98628,-9.95995,12.5964,78.5495,-20,114
211,111344670278541,111344670887583,-2.98628,-9.95995,12.5964,70.8728,15.5556,115
213,111344670781375,111344671439875,-3.98065,-9.95993,12.5981,65.518,-9.04138,116
215,111344671287333,111344671979125,-3.98065,-9.95993,12.5981,70.8728,15.5556,117
217,111344671779875,111344672514000,-3.98065,-9.95993,12.5981,65.518,-9.04138,118
219,111344672279583,111344673066750,-3.98065,-9.95993,12.5981,70.8728,15.5556,120
222,111344673029500,111344673619291,-4.97489,-9.95988,12.6001,65.518,-9.04138,121
224,111344673528708,111344674168375,-4.97489,-9.95988,12.6001,71.2451,5.91051,122
226,111344674036125,111344674715875,-4.97489,-9.95988,12.6001,65.6887,-13.4648,123
228,111344674530833,111344675257541,-4.97489,-9.95988,12.6001,71.9114,-11.3519,124
230,111344675030333,111344675799750,-4.97489,-9.95988,12.6001,66.0032,-20,126
233,111344675779833,111344676339500,-5.9693,-9.95981,12.6025,59.4905,-14.5989,127
235,111344676279916,111344676897916,-5.9693,-9.95981,12.6025,66.4012,-20,128
237,111344676790208,111344677444291,-5.9693,-9.95981,12.6025,60,-17.489,129
239,111344677283791,111344677985916,-5.9693,-9.95981,12.6025,66.8311,-20,130
